,tweet_source,tweet_text,tweet_date,tweet_vader_score,tweet_pos_score,tweet_neu_score,tweet_neg_score
0,Fox News,AT&amp;T prevails as Time Warner takeover gets OK from judge (via @FoxBusiness) https://t.co/KPPq5zpaMP,Tue Jun 12 20:56:15 +0000 2018,0.4466,0.196,0.804,0.0
1,Fox News,RT @FoxBusiness: #BreakingNews: Judge rules in favor of AT&amp;T-Time Warner merger. https://t.co/utmfUh2AUE https://t.co/vRzPGbXQkJ,Tue Jun 12 20:47:10 +0000 2018,0.4019,0.184,0.816,0.0
2,Fox News,JUST IN: Federal judge allows AT&amp;T-Time Warner deal https://t.co/KPPq5zpaMP https://t.co/LzHp8tWdEG,Tue Jun 12 20:46:47 +0000 2018,0.0,0.0,1.0,0.0
3,Fox News,Texas man's 28-pound 'monster' Bigmouth Buffalo catch could break state record https://t.co/ShF8St80wW,Tue Jun 12 20:42:21 +0000 2018,0.0,0.0,1.0,0.0
4,Fox News,".@RandPaul: “I think it's a good step for the world."" #Cavuto https://t.co/lkr9yxsVuW",Tue Jun 12 20:37:18 +0000 2018,0.4404,0.225,0.775,0.0
5,Fox News,".@POTUS: “We got along very well. We got along from the beginning.”

President @realDonaldTrump talks to… https://t.co/8zgG9451f1",Tue Jun 12 20:35:00 +0000 2018,0.3384,0.13,0.87,0.0
6,Fox News,"Former President George W. Bush posted this photo on Instagram Tuesday, as his father, former President… https://t.co/V7oJyAntIB",Tue Jun 12 20:31:07 +0000 2018,0.0,0.0,1.0,0.0
7,Fox News,.@RandPaul: “I would offer them the allure of trade with Japan and South Korea and us and expanded trade with China… https://t.co/LIYASMvDfy,Tue Jun 12 20:25:58 +0000 2018,0.0,0.0,1.0,0.0
8,Fox News,.@RandPaul: “I think it’s historic that President Trump has had this meeting.” #Cavuto https://t.co/lRKCzf60sW,Tue Jun 12 20:18:54 +0000 2018,0.0,0.0,1.0,0.0
9,Fox News,"RT @FoxBusiness: AT THE CLOSE: The Nasdaq finished the day at a new record close, its 19th record close this year.  The Dow Jones Industria…",Tue Jun 12 20:12:07 +0000 2018,0.0,0.0,1.0,0.0
